0,45087;0;0,04832;1;0,5;2;0,4503;3;0,5;4;0,16738;5
0,06637;;0,01796;;0,5;;0,40995;;0,5;;0,06534;
0,05595;;0,01884;;0,5;;0,41054;;0,5;;0,07404;
0,06208;;0,01775;;0,5;;0,4098;;0,5;;0,07223;
0,05684;;0,01013;;0,5;;0,40774;;0,5;;0,05268;
0,05496;;0,01734;;0,5;;0,40781;;0,5;;0,06113;
0,04769;;0,01581;;0,5;;0,40778;;0,5;;0,05479;
0,05994;;0,01778;;0,5;;0,40901;;0,5;;0,06294;
0,06317;;0,01752;;0,5;;0,4099;;0,5;;0,0469;
0,06541;;0,02089;;0,5;;0,40523;;0,5;;0,06528;
0,06256;;0,01765;;0,5;;0,40919;;0,5;;0,06845;
0,06139;;0,01803;;0,5;;0,40662;;0,5;;0,0641;
0,05831;;0,02472;;0,5;;0,40409;;0,5;;0,06635;
0,05881;;0,01619;;0,5;;0,40359;;0,5;;0,05927;
0,06295;;0,02007;;0,5;;0,4085;;0,5;;0,05626;
0,05478;;0,02305;;0,5;;0,40568;;0,5;;0,06521;
0,054;;0,01862;;0,5;;0,40379;;0,5;;0,06467;
0,06692;;0,02099;;0,5;;0,40313;;0,5;;0,05829;
0,05587;;0,01859;;0,5;;0,40445;;0,5;;0,04971;
0,05913;;0,01987;;0,5;;0,403;;0,5;;0,06485;
0,0545;;0,02168;;0,5;;0,40113;;0,5;;0,07264;
0,05627;;0,01782;;0,5;;0,403;;0,5;;0,06921;
0,053;;0,01996;;0,5;;0,40155;;0,5;;0,06295;
0,04649;;0,02375;;0,5;;0,40025;;0,5;;0,05692;
0,05868;;0,0211;;0,5;;0,39839;;0,5;;0,05918;
0,0653;;0,01361;;0,5;;0,40126;;0,5;;0,04783;
0,06044;;0,01836;;0,5;;0,40098;;0,5;;0,06025;
0,05074;;0,01893;;0,5;;0,40185;;0,5;;0,07408;
0,05698;;0,01591;;0,5;;0,40094;;0,5;;0,06202;
0,05153;;0,01121;;0,5;;0,39905;;0,5;;0,05494;
0,05052;;0,01789;;0,5;;0,3991;;0,5;;0,06067;
0,04311;;0,01674;;0,5;;0,39901;;0,5;;0,05508;
0,05481;;0,01763;;0,5;;0,40064;;0,5;;0,05888;
0,05806;;0,01434;;0,5;;0,40167;;0,5;;0,0484;
0,06035;;0,02392;;0,5;;0,39682;;0,5;;0,06409;
0,05701;;0,0202;;0,5;;0,40112;;0,5;;0,06604;
0,056;;0,01932;;0,5;;0,3984;;0,5;;0,05396;
0,05323;;0,02458;;0,5;;0,39582;;0,5;;0,05987;
0,054;;0,0152;;0,5;;0,39546;;0,5;;0,05912;
0,05921;;0,02026;;0,5;;0,40051;;0,5;;0,04852;
0,05007;;0,02025;;0,5;;0,39747;;0,5;;0,05527;
0,04923;;0,01485;;0,5;;0,3958;;0,5;;0,05668;
0,06194;;0,02206;;0,5;;0,39514;;0,5;;0,05071;
0,05128;;0,01616;;0,5;;0,39626;;0,5;;0,05203;
0,05521;;0,01731;;0,5;;0,39456;;0,5;;0,06969;
0,04999;;0,01783;;0,5;;0,39291;;0,5;;0,06066;
0,05193;;0,01847;;0,5;;0,39475;;0,5;;0,0693;
0,04949;;0,01942;;0,5;;0,39306;;0,5;;0,06221;
0,043;;0,01907;;0,5;;0,39182;;0,5;;0,05895;
0,05439;;0,02312;;0,5;;0,39022;;0,5;;0,05582;
0,06066;;0,01347;;0,5;;0,39301;;0,5;;0,04636;
0,05583;;0,0171;;0,5;;0,39254;;0,5;;0,06193;
0,04693;;0,01722;;0,5;;0,39325;;0,5;;0,07207;
0,05321;;0,01503;;0,5;;0,39178;;0,5;;0,06422;
0,04767;;0,01065;;0,5;;0,39011;;0,5;;0,0564;
0,04705;;0,01596;;0,5;;0,38981;;0,5;;0,05878;
0,0397;;0,01498;;0,5;;0,38945;;0,5;;0,04714;
0,05084;;0,01687;;0,5;;0,39129;;0,5;;0,05599;
0,05418;;0,01384;;0,5;;0,39214;;0,5;;0,04809;
0,05648;;0,02163;;0,5;;0,38712;;0,5;;0,05635;
;;0,0178;;0,5;;0,3915;;0,5;;0,06234;
;;0,01903;;0,5;;0,38844;;0,5;;0,05583;
;;0,02295;;0,5;;0,38553;;0,5;;0,06217;
;;0,01449;;0,5;;0,38512;;0,5;;0,05548;
;;0,02124;;0,5;;0,39013;;0,5;;0,0505;
;;0,02158;;0,5;;0,38677;;0,5;;0,06196;
;;0,0156;;0,5;;0,38533;;0,5;;0,06481;
;;0,02284;;0,5;;0,38484;;0,5;;0,05736;
;;0,01606;;0,5;;0,38557;;0,5;;0,04574;
;;0,01803;;0,5;;0,38378;;0,5;;0,06145;
;;0,01567;;0,5;;0,38217;;0,5;;0,05645;
;;0,01571;;0,5;;0,38371;;0,5;;0,06203;
;;0,01916;;0,5;;0,38166;;0,5;;0,05669;
;;0,02246;;0,5;;0,38038;;0,5;;0,05341;
;;;;0,5;;0,37956;;0,5;;0,05424;
;;;;0,5;;0,38201;;0,5;;0,04786;
;;;;0,5;;0,38131;;0,5;;0,04907;
;;;;0,5;;0,38159;;0,5;;0,06463;
;;;;0,5;;0,37948;;0,5;;0,05673;
;;;;0,5;;0,37827;;0,5;;0,05231;
;;;;0,5;;0,3775;;0,5;;0,05822;
;;;;0,5;;0,37694;;0,5;;0,04725;
;;;;0,5;;0,37903;;0,5;;0,04999;
;;;;0,5;;0,37987;;0,5;;0,04644;
;;;;0,5;;0,37479;;0,5;;0,06293;
;;;;0,5;;0,3793;;0,5;;0,06872;
;;;;0,5;;0,37591;;0,5;;0,06058;
;;;;0,5;;0,37269;;0,5;;0,05867;
;;;;0,5;;0,37224;;0,5;;0,05392;
;;;;0,5;;0,37752;;0,5;;0,04881;
;;;;0,5;;0,37371;;0,5;;0,05481;
;;;;0,5;;0,37264;;0,5;;0,05681;
;;;;0,5;;0,37238;;0,5;;0,04677;
;;;;0,5;;0,37243;;0,5;;0,04909;
;;;;0,5;;0,37084;;0,5;;0,0638;
;;;;0,5;;0,3692;;0,5;;0,05644;
;;;;0,5;;0,37059;;0,5;;0,06261;
;;;;0,5;;0,36823;;0,5;;0,06877;
;;;;0,5;;0,36702;;0,5;;0,05717;
;;;;0,5;;0,36735;;0,5;;0,04871;
;;;;0,5;;0,36941;;0,5;;0,04145;
;;;;0,5;;0,36863;;0,5;;0,05554;
;;;;0,5;;0,36845;;0,5;;0,06628;
;;;;0,5;;0,36572;;0,5;;0,05394;
;;;;0,5;;0,365;;0,5;;0,05626;
;;;;0,5;;0,36396;;0,5;;0,06126;
;;;;0,5;;0,36317;;0,5;;0,04078;
;;;;0,5;;0,36573;;0,5;;0,06318;
;;;;0,5;;0,36663;;0,5;;0,04249;
;;;;0,5;;0,36156;;0,5;;0,0593;
;;;;0,5;;0,36625;;0,5;;0,05787;
;;;;0,5;;0,36267;;0,5;;0,06356;
;;;;0,5;;0,35929;;0,5;;0,065;
;;;;0,5;;0,35891;;0,5;;0,05404;
;;;;0,5;;0,36453;;0,5;;0,05345;
;;;;0,5;;0,36026;;0,5;;0,05227;
;;;;0,5;;0,35971;;0,5;;0,05685;
;;;;0,5;;0,35978;;0,5;;0,04875;
;;;;0,5;;0,3591;;0,5;;0,05504;
;;;;0,5;;0,35782;;0,5;;0,05873;
;;;;0,5;;0,35588;;0,5;;0,05455;
;;;;0,5;;0,35712;;0,5;;0,06624;
;;;;0,5;;0,35435;;0,5;;0,05496;
;;;;0,5;;0,35316;;0,5;;0,0522;
;;;;0,5;;0,35445;;0,5;;0,05528;
;;;;0,5;;0,35611;;0,5;;0,04496;
;;;;0,5;;0,35516;;0,5;;0,05611;
;;;;0,5;;0,35449;;0,5;;0,058;
;;;;0,5;;0,35101;;0,5;;0,06295;
;;;;0,5;;0,35063;;0,5;;;
;;;;0,5;;0,34915;;0,5;;;
;;;;0,5;;0,34819;;0,5;;;
;;;;0,5;;0,35096;;0,5;;;
;;;;0,5;;0,352;;0,5;;;
;;;;0,5;;0,34677;;0,5;;;
