0,03462;0,03850
0,02896;0,03200
0,03395;0,04050
0,03611;0,04850
0,03318;0,04100
0,03390;0,03950
0,03546;0,04550
0,02953;0,03050
0,03966;0,04750
0,03995;0,05050
0,03374;0,04200
0,03112;0,03850
0,04245;0,05600
0,03142;0,03950
0,03676;0,04400
0,03633;0,04900
0,03741;0,04600
0,03520;0,04350
0,03026;0,03600
0,03635;0,04300
0,03885;0,05050
0,03986;0,04800
0,03130;0,03850
0,03975;0,05100
0,03462;0,04200
0,03030;0,03600
0,02665;0,02900
0,03395;0,03950
0,03759;0,04900
0,03342;0,04050
0,03364;0,04050
0,03505;0,04450
0,02849;0,02900
0,03831;0,04650
0,03904;0,04900
0,03284;0,04200
0,03041;0,03650
0,04148;0,05400
0,03064;0,03800
0,03604;0,04350
0,03562;0,04800
0,03674;0,04550
0,03408;0,04200
0,02978;0,03600
0,03553;0,04200
0,03834;0,04900
0,03958;0,04800
0,03080;0,03750
0,03912;0,05000
0,03409;0,04150
0,02994;0,03600
0,02618;0,02950
0,03361;0,03900
0,03781;0,04900
0,03343;0,04050
0,03347;0,04050
0,03495;0,04450
0,02820;0,02850
0,03778;0,04600
0,03881;0,04900
0,03233;0,04200
0,02998;0,03650
0,04092;0,05350
0,03031;0,03750
0,03560;0,04350
0,03526;0,04800
0,03638;0,04550
0,03343;0,04050
0,02947;0,03500
0,03515;0,04150
0,03807;0,04900
0,03943;0,04750
0,03046;0,03750
0,03876;0,04950
0,03374;0,04200
0,02974;0,03600
0,02588;0,03000
0,03340;0,03850
0,03792;0,04900
0,03344;0,04100
0,03333;0,04000
0,03491;0,04450
0,02804;0,02800
0,03741;0,04600
0,03868;0,04850
0,03195;0,04150
0,02969;0,03650
0,04052;0,05400
0,03012;0,03650
0,03532;0,04400
0,03499;0,04750
0,03609;0,04550
0,03300;0,04000
0,02926;0,03550
0,03490;0,04100
0,03788;0,04900
0,03933;0,04700
0,03021;0,03600
0,03853;0,04900
